"No."  ,"Time"           ,"Source"        ,"Destination"   ,"Protocol","Length","Info"
"14428","02:18:54.326052","10.140.212.198","10.224.168.94" ,"TCP"     ,"54"    ,"52370  >  3478 [ACK] Seq=9927 Ack=905732 Win=65535 Len=0"
"14429","02:18:54.342956","10.140.212.198","10.224.168.94" ,"TCP"     ,"1160"  ,"52372  >  3478 [PSH, ACK] Seq=903700 Ack=14507 Win=65535 Len=1106 [TCP segment of a reassembled PDU]"
"14430","02:18:54.343055","10.140.212.198","10.224.168.94" ,"TCP"     ,"1160"  ,"52372  >  3478 [PSH, ACK] Seq=904806 Ack=14507 Win=65535 Len=1106 [TCP segment of a reassembled PDU]"
"14431","02:18:54.343095","10.140.212.198","10.224.168.94" ,"TCP"     ,"1160"  ,"52372  >  3478 [PSH, ACK] Seq=905912 Ack=14507 Win=65535 Len=1106 [TCP segment of a reassembled PDU]"
"14432","02:18:54.343096","10.140.212.198","10.224.168.94" ,"TCP"     ,"1160"  ,"52372  >  3478 [PSH, ACK] Seq=907018 Ack=14507 Win=65535 Len=1106 [TCP segment of a reassembled PDU]"
"14433","02:18:54.343103","10.140.212.198","10.224.168.94" ,"TCP"     ,"1160"  ,"52372  >  3478 [PSH, ACK] Seq=908124 Ack=14507 Win=65535 Len=1106 [TCP segment of a reassembled PDU]"
"14443","02:18:54.346107","10.224.168.94" ,"10.140.212.198","TCP"     ,"54"    ,"3478  >  52372 [ACK] Seq=14507 Ack=905912 Win=65490 Len=0"
"14444","02:18:54.346241","10.224.168.94" ,"10.140.212.198","TCP"     ,"54"    ,"3478  >  52372 [ACK] Seq=14507 Ack=908124 Win=65490 Len=0"
"14445","02:18:54.346433","10.224.168.94" ,"10.140.212.198","TCP"     ,"140"   ,"3478  >  52372 [PSH, ACK] Seq=14507 Ack=909230 Win=65490 Len=86 [TCP segment of a reassembled PDU]"
"14446","02:18:54.346437","10.224.168.94" ,"10.140.212.198","TCP"     ,"1160"  ,"3478  >  52370 [PSH, ACK] Seq=905732 Ack=9927 Win=29200 Len=1106 [TCP segment of a reassembled PDU]"
"14447","02:18:54.346437","10.224.168.94" ,"10.140.212.198","TCP"     ,"1514"  ,"3478  >  52370 [ACK] Seq=906838 Ack=9927 Win=29200 Len=1460 [TCP segment of a reassembled PDU]"
"14448","02:18:54.346438","10.224.168.94" ,"10.140.212.198","TCP"     ,"1514"  ,"3478  >  52370 [ACK] Seq=908298 Ack=9927 Win=29200 Len=1460 [TCP segment of a reassembled PDU]"
"14449","02:18:54.346439","10.224.168.94" ,"10.140.212.198","TCP"     ,"1514"  ,"3478  >  52370 [ACK] Seq=909758 Ack=9927 Win=29200 Len=1460 [TCP segment of a reassembled PDU]"
"14450","02:18:54.346481","10.140.212.198","10.224.168.94" ,"TCP"     ,"54"    ,"52372  >  3478 [ACK] Seq=909230 Ack=14593 Win=65535 Len=0"
"14451","02:18:54.346482","10.140.212.198","10.224.168.94" ,"TCP"     ,"54"    ,"52370  >  3478 [ACK] Seq=9927 Ack=906838 Win=65535 Len=0"
"14452","02:18:54.346510","10.140.212.198","10.224.168.94" ,"TCP"     ,"54"    ,"52370  >  3478 [ACK] Seq=9927 Ack=909758 Win=65535 Len=0"
"14453","02:18:54.346726","10.140.212.198","10.224.168.94" ,"TCP"     ,"84"    ,"52370  >  3478 [PSH, ACK] Seq=9927 Ack=911218 Win=65535 Len=30 [TCP segment of a reassembled PDU]"
"14454","02:18:54.347631","10.224.168.94" ,"10.140.212.198","TCP"     ,"98"    ,"3478  >  52370 [PSH, ACK] Seq=911218 Ack=9927 Win=29200 Len=44 [TCP segment of a reassembled PDU]"
"14455","02:18:54.347659","10.140.212.198","10.224.168.94" ,"TCP"     ,"54"    ,"52370  >  3478 [ACK] Seq=9957 Ack=911262 Win=65535 Len=0"
"14456","02:18:54.366481","10.140.212.198","10.224.168.94" ,"STUN"    ,"1160"  ,"ChannelData TURN Message [TCP segment of a reassembled PDU]"
"14457","02:18:54.366531","10.140.212.198","10.224.168.94" ,"TCP"     ,"1160"  ,"52372  >  3478 [PSH, ACK] Seq=910336 Ack=14593 Win=65535 Len=1106 [TCP segment of a reassembled PDU]"
"14458","02:18:54.366531","10.140.212.198","10.224.168.94" ,"TCP"     ,"1146"  ,"52372  >  3478 [PSH, ACK] Seq=911442 Ack=14593 Win=65535 Len=1092 [TCP segment of a reassembled PDU]"
"14459","02:18:54.366540","10.140.212.198","10.224.168.94" ,"TCP"     ,"1176"  ,"52372  >  3478 [PSH, ACK] Seq=912534 Ack=14593 Win=65535 Len=1122 [TCP segment of a reassembled PDU]"
"14460","02:18:54.366547","10.140.212.198","10.224.168.94" ,"TCP"     ,"1176"  ,"52372  >  3478 [PSH, ACK] Seq=913656 Ack=14593 Win=65535 Len=1122 [TCP segment of a reassembled PDU]"
"14461","02:18:54.367865","10.224.168.94" ,"10.140.212.198","TCP"     ,"54"    ,"3478  >  52372 [ACK] Seq=14593 Ack=911442 Win=65490 Len=0"
"14462","02:18:54.368051","10.224.168.94" ,"10.140.212.198","TCP"     ,"54"    ,"3478  >  52372 [ACK] Seq=14593 Ack=913656 Win=65490 Len=0"
"14463","02:18:54.368323","10.224.168.94" ,"10.140.212.198","TCP"     ,"1160"  ,"3478  >  52370 [PSH, ACK] Seq=911262 Ack=9957 Win=29200 Len=1106 [TCP segment of a reassembled PDU]"
"14464","02:18:54.368366","10.140.212.198","10.224.168.94" ,"TCP"     ,"54"    ,"52370  >  3478 [ACK] Seq=9957 Ack=912368 Win=65535 Len=0"
"14465","02:18:54.368683","10.224.168.94" ,"10.140.212.198","TCP"     ,"1514"  ,"3478  >  52370 [ACK] Seq=912368 Ack=9957 Win=29200 Len=1460 [TCP segment of a reassembled PDU]"
"14466","02:18:54.368685","10.224.168.94" ,"10.140.212.198","TCP"     ,"1514"  ,"3478  >  52370 [ACK] Seq=913828 Ack=9957 Win=29200 Len=1460 [TCP segment of a reassembled PDU]"
"14467","02:18:54.369436","10.224.168.94" ,"10.140.212.198","TCP"     ,"1514"  ,"3478  >  52370 [ACK] Seq=915288 Ack=9957 Win=29200 Len=1460 [TCP segment of a reassembled PDU]"
"14468","02:18:54.369888","10.224.168.94" ,"10.140.212.198","TCP"     ,"116"   ,"3478  >  52370 [PSH, ACK] Seq=916748 Ack=9957 Win=29200 Len=62 [TCP segment of a reassembled PDU]"
"14469","02:18:54.369920","10.140.212.198","10.224.168.94" ,"TCP"     ,"54"    ,"52370  >  3478 [ACK] Seq=9957 Ack=916810 Win=65535 Len=0"
"14470","02:18:54.385978","10.140.212.198","10.224.168.94" ,"TCP"     ,"1176"  ,"52372  >  3478 [PSH, ACK] Seq=914778 Ack=14593 Win=65535 Len=1122 [TCP segment of a reassembled PDU]"
"14471","02:18:54.386032","10.140.212.198","10.224.168.94" ,"TCP"     ,"1176"  ,"52372  >  3478 [PSH, ACK] Seq=915900 Ack=14593 Win=65535 Len=1122 [TCP segment of a reassembled PDU]"
"14472","02:18:54.386033","10.140.212.198","10.224.168.94" ,"TCP"     ,"1176"  ,"52372  >  3478 [PSH, ACK] Seq=917022 Ack=14593 Win=65535 Len=1122 [TCP segment of a reassembled PDU]"
"14473","02:18:54.386033","10.140.212.198","10.224.168.94" ,"TCP"     ,"1176"  ,"52372  >  3478 [PSH, ACK] Seq=918144 Ack=14593 Win=65535 Len=1122 [TCP segment of a reassembled PDU]"
"14474","02:18:54.387361","10.224.168.94" ,"10.140.212.198","TCP"     ,"54"    ,"3478  >  52372 [ACK] Seq=14593 Ack=915900 Win=65490 Len=0"
"14475","02:18:54.387364","10.224.168.94" ,"10.140.212.198","TCP"     ,"54"    ,"3478  >  52372 [ACK] Seq=14593 Ack=918144 Win=65490 Len=0"
"14476","02:18:54.387792","10.224.168.94" ,"10.140.212.198","TCP"     ,"1176"  ,"3478  >  52370 [PSH, ACK] Seq=916810 Ack=9957 Win=29200 Len=1122 [TCP segment of a reassembled PDU]"
"14477","02:18:54.387846","10.140.212.198","10.224.168.94" ,"TCP"     ,"54"    ,"52370  >  3478 [ACK] Seq=9957 Ack=917932 Win=65535 Len=0"
"14478","02:18:54.388107","10.224.168.94" ,"10.140.212.198","TCP"     ,"1514"  ,"3478  >  52370 [ACK] Seq=917932 Ack=9957 Win=29200 Len=1460 [TCP segment of a reassembled PDU]"
"14479","02:18:54.388534","10.224.168.94" ,"10.140.212.198","TCP"     ,"1514"  ,"3478  >  52370 [ACK] Seq=919392 Ack=9957 Win=29200 Len=1460 [TCP segment of a reassembled PDU]"
"14480","02:18:54.389029","10.224.168.94" ,"10.140.212.198","TCP"     ,"500"   ,"3478  >  52370 [PSH, ACK] Seq=920852 Ack=9957 Win=29200 Len=446 [TCP segment of a reassembled PDU]"
"14481","02:18:54.389059","10.140.212.198","10.224.168.94" ,"TCP"     ,"54"    ,"52370  >  3478 [ACK] Seq=9957 Ack=921298 Win=65535 Len=0"
"14482","02:18:54.403166","10.140.212.198","10.224.168.94" ,"TCP"     ,"1176"  ,"52372  >  3478 [PSH, ACK] Seq=919266 Ack=14593 Win=65535 Len=1122 [TCP segment of a reassembled PDU]"
"14483","02:18:54.403249","10.140.212.198","10.224.168.94" ,"TCP"     ,"1176"  ,"52372  >  3478 [PSH, ACK] Seq=920388 Ack=14593 Win=65535 Len=1122 [TCP segment of a reassembled PDU]"
"14484","02:18:54.403258","10.140.212.198","10.224.168.94" ,"TCP"     ,"1176"  ,"52372  >  3478 [PSH, ACK] Seq=921510 Ack=14593 Win=65535 Len=1122 [TCP segment of a reassembled PDU]"
"14485","02:18:54.403277","10.140.212.198","10.224.168.94" ,"TCP"     ,"1176"  ,"52372  >  3478 [PSH, ACK] Seq=922632 Ack=14593 Win=65535 Len=1122 [TCP segment of a reassembled PDU]"
"14486","02:18:54.403291","10.140.212.198","10.224.168.94" ,"TCP"     ,"1176"  ,"52372  >  3478 [PSH, ACK] Seq=923754 Ack=14593 Win=65535 Len=1122 [TCP segment of a reassembled PDU]"
"14487","02:18:54.405163","10.224.168.94" ,"10.140.212.198","TCP"     ,"54"    ,"3478  >  52372 [ACK] Seq=14593 Ack=920388 Win=65490 Len=0"
"14488","02:18:54.405608","10.224.168.94" ,"10.140.212.198","TCP"     ,"1176"  ,"3478  >  52370 [PSH, ACK] Seq=921298 Ack=9957 Win=29200 Len=1122 [TCP segment of a reassembled PDU]"
