"No."  ,"Time"           ,"Source"        ,"Destination"   ,"Protocol","Length","Info"
"16911","02:24:24.874748","10.224.168.94" ,"10.140.212.198","TCP"     ,"140"   ,"3478  >  52522 [PSH, ACK] Seq=10223 Ack=537979 Win=65134 Len=86 [TCP segment of a reassembled PDU]"
"16912","02:24:24.874750","10.224.168.94" ,"10.140.212.198","TCP"     ,"218"   ,"3478  >  52519 [PSH, ACK] Seq=539091 Ack=6539 Win=29200 Len=164 [TCP segment of a reassembled PDU]"
"16913","02:24:24.874810","10.140.212.198","10.224.168.94" ,"TCP"     ,"54"    ,"52522  >  3478 [ACK] Seq=537979 Ack=10309 Win=65535 Len=0"
"16914","02:24:24.874810","10.140.212.198","10.224.168.94" ,"TCP"     ,"54"    ,"52519  >  3478 [ACK] Seq=6539 Ack=539255 Win=65535 Len=0"
"16915","02:24:24.912168","10.140.212.198","10.224.168.94" ,"TCP"     ,"235"   ,"52522  >  3478 [PSH, ACK] Seq=537979 Ack=10309 Win=65535 Len=181 [TCP segment of a reassembled PDU]"
"16916","02:24:24.913687","10.224.168.94" ,"10.140.212.198","TCP"     ,"235"   ,"3478  >  52519 [PSH, ACK] Seq=539255 Ack=6539 Win=29200 Len=181 [TCP segment of a reassembled PDU]"
"16917","02:24:24.913733","10.140.212.198","10.224.168.94" ,"TCP"     ,"54"    ,"52519  >  3478 [ACK] Seq=6539 Ack=539436 Win=65535 Len=0"
"16918","02:24:24.934324","10.140.212.198","10.224.168.94" ,"TCP"     ,"218"   ,"52522  >  3478 [PSH, ACK] Seq=538160 Ack=10309 Win=65535 Len=164 [TCP segment of a reassembled PDU]"
"16919","02:24:24.935637","10.224.168.94" ,"10.140.212.198","TCP"     ,"54"    ,"3478  >  52522 [ACK] Seq=10309 Ack=538324 Win=65134 Len=0"
"16920","02:24:24.935640","10.224.168.94" ,"10.140.212.198","TCP"     ,"218"   ,"3478  >  52519 [PSH, ACK] Seq=539436 Ack=6539 Win=29200 Len=164 [TCP segment of a reassembled PDU]"
"16921","02:24:24.935701","10.140.212.198","10.224.168.94" ,"TCP"     ,"54"    ,"52519  >  3478 [ACK] Seq=6539 Ack=539600 Win=65535 Len=0"
"16922","02:24:24.972533","10.140.212.198","10.224.168.94" ,"TCP"     ,"235"   ,"52522  >  3478 [PSH, ACK] Seq=538324 Ack=10309 Win=65535 Len=181 [TCP segment of a reassembled PDU]"
"16923","02:24:24.974005","10.224.168.94" ,"10.140.212.198","TCP"     ,"235"   ,"3478  >  52519 [PSH, ACK] Seq=539600 Ack=6539 Win=29200 Len=181 [TCP segment of a reassembled PDU]"
"16924","02:24:24.974163","10.140.212.198","10.224.168.94" ,"TCP"     ,"54"    ,"52519  >  3478 [ACK] Seq=6539 Ack=539781 Win=65535 Len=0"
"16925","02:24:24.974738","10.140.212.198","10.224.168.94" ,"TCP"     ,"84"    ,"52519  >  3478 [PSH, ACK] Seq=6539 Ack=539781 Win=65535 Len=30 [TCP segment of a reassembled PDU]"
"16926","02:24:25.012577","10.140.212.198","10.224.168.94" ,"TCP"     ,"218"   ,"52522  >  3478 [PSH, ACK] Seq=538505 Ack=10309 Win=65535 Len=164 [TCP segment of a reassembled PDU]"
"16927","02:24:25.013469","10.224.168.94" ,"10.140.212.198","TCP"     ,"54"    ,"3478  >  52522 [ACK] Seq=10309 Ack=538505 Win=65134 Len=0"
"16928","02:24:25.013472","10.224.168.94" ,"10.140.212.198","TCP"     ,"54"    ,"3478  >  52522 [ACK] Seq=10309 Ack=538669 Win=65134 Len=0"
"16929","02:24:25.013619","10.224.168.94" ,"10.140.212.198","TCP"     ,"218"   ,"3478  >  52519 [PSH, ACK] Seq=539781 Ack=6569 Win=29200 Len=164 [TCP segment of a reassembled PDU]"
"16930","02:24:25.013676","10.140.212.198","10.224.168.94" ,"TCP"     ,"54"    ,"52519  >  3478 [ACK] Seq=6569 Ack=539945 Win=65535 Len=0"
"16959","02:24:25.052515","10.140.212.198","10.224.168.94" ,"TCP"     ,"235"   ,"52522  >  3478 [PSH, ACK] Seq=538669 Ack=10309 Win=65535 Len=181 [TCP segment of a reassembled PDU]"
"16960","02:24:25.053760","10.224.168.94" ,"10.140.212.198","TCP"     ,"54"    ,"3478  >  52522 [ACK] Seq=10309 Ack=538850 Win=65134 Len=0"
